Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"MK","Macro Indicators","275","Palestine","61290","Annual growth US$ per capita","22008","Gross Domestic Product","1984","1984","%","-5.683226","X","Figure from external organization",""
"MK","Macro Indicators","275","Palestine","6182","Annual growth US$, 2015 prices","22008","Gross Domestic Product","1984","1984","%","5.028281","X","Figure from external organization",""
"MK","Macro Indicators","275","Palestine","61820","Annual growth US$ per capita, 2015 prices","22008","Gross Domestic Product","1984","1984","%","0.685162","X","Figure from external organization",""
"MK","Macro Indicators","275","Palestine","6224","Value Standard Local Currency","22008","Gross Domestic Product","1985","1985","million SLC","1004.702951","X","Figure from external organization",""
"MK","Macro Indicators","275","Palestine","6110","Value US$","22008","Gross Domestic Product","1985","1985","million USD","1004.702951","X","Figure from external organization",""
"MK","Macro Indicators","275","Palestine","6119","Value US$ per capita","22008","Gross Domestic Product","1985","1985","USD","575.676384","X","Figure from external organization",""
"MK","Macro Indicators","275","Palestine","6225","Value Standard Local Currency, 2015 prices","22008","Gross Domestic Product","1985","1985","million SLC","2384.695712","X","Figure from external organization",""
"MK","Macro Indicators","275","Palestine","6185","Value US$ per capita, 2015 prices","22008","Gross Domestic Product","1985","1985","USD","1366.386953","X","Figure from external organization",""
"MK","Macro Indicators","275","Palestine","6184","Value US$, 2015 prices","22008","Gross Domestic Product","1985","1985","million USD","2384.695712","X","Figure from external organization",""
"MK","Macro Indicators","275","Palestine","61550","Annual growth Standard Local Currency","22008","Gross Domestic Product","1985","1985","%","-6.630487","X","Figure from external organization",""
"MK","Macro Indicators","275","Palestine","61810","Annual growth Standard Local Currency, 2015 prices","22008","Gross Domestic Product","1985","1985","%","-0.637352","X","Figure from external organization",""
